0.8938036 0.4746442 57.32053 0.1072792
0.7573805 0.7272515 55.85227 0.0754547
0.8314173 0.4431483 49.05032 0.05255966
0.8516813 0.2293838 51.52056 0.1351923
0.8360986 0.7362021 55.53571 0.05897915
0.7685518 0.2485077 52.7895 0.03726171
0.86951770.8616314  0.79075430.7803404  55.2940154.57341  0.056896960.06104746

0.8909367 0.6654557 52.31602 0.05833415
0.8606703 0.8017675 53.67695 0.05604081
