t	H2	mod	nest	conn	Fmean
0	0	1.07373979658809e-17	1	0.461958637185951	0.670034571428571
100	0.10478336524351	0.123644800707891	0.872286079182631	0.132376942893694	0.0262409714285714
200	0.133917836818435	0.153933913709201	0.831235176062762	0.135150817815155	0.0260171214285714
300	0.167851718355148	0.180574967583177	0.805099434409779	0.133957394053553	0.0276083757142857
400	0.203111092514111	0.205893731600645	0.778370735267287	0.132002718879789	0.0291077142857143
500	0.237406322921534	0.229789476188704	0.763318737456669	0.129552197258387	0.0304488428571429
600	0.270393871428421	0.251944842938053	0.742200328407225	0.126769590757507	0.0316325428571429
700	0.302385610122079	0.27218031224062	0.729793833242109	0.123822711549543	0.0326852428571429
800	0.333170509403201	0.29066092813298	0.714924283889801	0.12085317861554	0.0336332285714286
900	0.360974839497231	0.307132559607507	0.702335340266375	0.117960694330042	0.0344884714285714
1000	0.388066266240354	0.321776138830159	0.693212917350848	0.115205513056458	0.0352451714285714
1100	0.411897051323505	0.335146686078238	0.684044882320744	0.112618206567457	0.0358842857142857
1200	0.434439540755476	0.346990368898429	0.674557562488597	0.110207354969494	0.036382
1300	0.454136647651977	0.357460051391484	0.66507024265645	0.107967864010666	0.0367200857142857
1400	0.472979289971458	0.366711051130004	0.659688013136289	0.105887899957087	0.0368951857142857
1500	0.490170222528137	0.374886846025434	0.654944353220215	0.103954271622942	0.0369238142857143
1600	0.505406685416133	0.382344870190166	0.649060390439701	0.102157780251262	0.0368396714285714
1700	0.520289721533474	0.38920760672991	0.646095602992155	0.100494195344595	0.0366840428571429
1800	0.53379253737674	0.3953477628151	0.64445356686736	0.0989614119401391	0.0364952428571429
1900	0.545660055831498	0.400845805209641	0.642309797482211	0.0975571955017692	0.0363018428571429
2000	0.556180172142685	0.405775532026705	0.641488779419814	0.0962767701659809	0.0361215428571429
2100	0.565971872699381	0.410202867889782	0.639527458492976	0.0951130101878941	0.0359633142857143
2200	0.574806339685874	0.414191400545227	0.638706440430578	0.0940573665523994	0.0358302
2300	0.583027276349391	0.417791604536859	0.636425834701697	0.0931002148016415	0.0357220571428571
2400	0.590788303287514	0.421051663727269	0.636425834701697	0.0922323132947246	0.0356369428571429
2500	0.597890567594879	0.424009615643347	0.633643495712461	0.0914446123599344	0.0355722857142857
2600	0.603945654544122	0.426699888370495	0.632822477650064	0.0907288846207295	0.0355253
2700	0.60957044312968	0.429152958722087	0.631180441525269	0.0900777495960965	0.0354934714285714
2800	0.614972985344753	0.431393055026579	0.629538405400474	0.0894845476068064	0.0354743142857143
2900	0.619912363727148	0.433442763474566	0.629219120598431	0.088943324535774	0.0354657142857143
3000	0.62415444082045	0.435322162153477	0.628398102536034	0.0884489640565748	0.0354657714285714
3100	0.628013471379972	0.437045294237694	0.628398102536034	0.0879966045730618	0.0354728285714286
3200	0.631561078988963	0.438629792245471	0.627257799671593	0.0875822871537132	0.0354854571428571
3300	0.634331832658134	0.440087372887794	0.626436781609195	0.0872022064875158	0.0355024285714286
3400	0.637179886145505	0.441429431758774	0.626436781609195	0.0868531443133172	0.0355226428571429
3500	0.639603999300111	0.442667544519251	0.626436781609195	0.0865321379145953	0.0355452428571429
3600	0.641991766397896	0.443809812691086	0.624794745484401	0.0862365421064694	0.0355694857142857
3700	0.644007478003227	0.444865070461582	0.62807881773399	0.0859640106024382	0.0355947428571429
3800	0.64579921325764	0.445840065723197	0.627257799671593	0.0857122371912051	0.0356205
3900	0.647463198835326	0.446742598555032	0.626756066411239	0.085479559370266	0.0356463428571429
4000	0.648920473847455	0.447577836894524	0.625114030286444	0.0852640843018095	0.0356719571428571
4100	0.650100047187885	0.44835207671317	0.625114030286444	0.0850643507369463	0.0356970142857143
4200	0.651294200540233	0.44906936178546	0.624794745484401	0.0848788271352099	0.0357213857142857
4300	0.652395454956636	0.449734087902901	0.624794745484401	0.0847062122086335	0.0357448714285714
4400	0.653584184267166	0.450350503254104	0.623973727422003	0.0845455352234821	0.0357673571428571
4500	0.65520169749936	0.450922328333288	0.623152709359606	0.0843955557723305	0.0357887142857143
4600	0.656764379543845	0.451453231436384	0.621510673234811	0.0842555127864465	0.0358089428571429
4700	0.658298295668778	0.451945718925286	0.620689655172414	0.0841243375593821	0.0358279571428571
4800	0.659914036947126	0.452403073495154	0.621191388432768	0.084001447588149	0.0358457285714286
4900	0.661211636539192	0.452827228769615	0.621191388432768	0.0838860028004083	0.0358622857142857
5000	0.662547407456511	0.453221341213515	0.619549352307973	0.0837773955716549	0.0358775857142857
5100	0.663881842690395	0.453586582936754	0.618728334245576	0.0836750910005606	0.0358916142857143
5200	0.66509915217539	0.453925492985231	0.618728334245576	0.0835784969963081	0.0359044285714286
5300	0.666305343239302	0.454240100375801	0.617907316183178	0.0834871401446796	0.0359160142857143
5400	0.667381386704892	0.454531065119028	0.617907316183178	0.0834004706737937	0.0359264
5500	0.668392614383152	0.45480138869554	0.620051085568327	0.0833182662159909	0.0359356428571429
5600	0.6693702061238	0.455051681637418	0.620051085568327	0.0832401075708764	0.0359437142857143
5700	0.670281907767228	0.455283491566366	0.61923006750593	0.0831656132665279	0.0359507
5800	0.671073071018115	0.4554971965181	0.61923006750593	0.0830944018247739	0.0359566142857143
5900	0.671808547109538	0.455694656497788	0.61923006750593	0.0830261936679119	0.0359614714285714
6000	0.67251035615269	0.455878226890473	0.618409049443532	0.0829609425407737	0.0359653285714286
6100	0.673200713733795	0.456047334755603	0.61923006750593	0.0828981490989838	0.0359682142857143
6200	0.673901547444708	0.456203618923671	0.61923006750593	0.0828377133673582	0.0359701857142857
6300	0.674514086743057	0.456347240086932	0.61923006750593	0.0827793515679748	0.0359712714285714
6400	0.675017407478619	0.456480319987505	0.61923006750593	0.0827229895313728	0.0359715428571429
6500	0.675442631813897	0.456602797719189	0.617588031381135	0.082668420122467	0.035971
