t	H2	mod	nest	conn	Fmean
0	0	9.51020085452247e-17	NA	0.434715966324086	0.597124428571429
100	0.128903123747796	0.111421012333778	0.705163291370188	0.225787696542733	0.223615728571429
200	0.282481150783763	0.20301074119263	0.644864075898559	0.189681433293977	0.230731857142857
300	0.338858820886462	0.22461663875613	0.639892355409597	0.104737114450246	0.152934
400	0.375721273850521	0.228776910959326	0.634875022806057	0.0938340611418536	0.127336285714286
500	0.411167394365872	0.241555427264626	0.623882503192848	0.0891362322614687	0.118770571428571
600	0.444660275097932	0.254764491719149	0.617998540412333	0.0858013860282074	0.114970757142857
700	0.475457473649747	0.267038086652772	0.615535486225141	0.0831094249980835	0.112993942857143
800	0.505746057019051	0.278172600038003	0.609469074986316	0.0808024397994014	0.111868628571429
900	0.536059001247592	0.287949235365964	0.605865717934683	0.0787671018795054	0.111190414285714
1000	0.563138726126187	0.296761932979926	0.600802773216566	0.0769532343882925	0.110764942857143
1100	0.587131544353832	0.304412732126908	0.589490968801314	0.0753374029767877	0.110487928571429
1200	0.608131135029294	0.310987794060584	0.579638752052545	0.0739054980363468	0.110301557142857
1300	0.626960759853821	0.316835134640406	0.572751322751323	0.0726449079679664	0.110169228571429
1400	0.643610206194581	0.321953687444312	0.572751322751323	0.0715417647101435	0.110069971428571
1500	0.65843502749723	0.326365253381956	0.571611019886882	0.0705803405523676	0.1099895
1600	0.671434528605209	0.329773436632136	0.567688378033206	0.0697440523072127	0.109920185714286
1700	0.683215147784988	0.332539707005805	0.567688378033206	0.0690157836424118	0.109856128571429
1800	0.693588672703179	0.33592039814846	0.563264002919175	0.0683787950662149	0.109795185714286
1900	0.702985891962957	0.338906622088689	0.564085020981573	0.0678181401483723	0.109735757142857
2000	0.711138494097152	0.341159583085494	0.563264002919175	0.0673202765536693	0.109678028571429
2100	0.718576189000694	0.342495639258878	0.562442984856778	0.0668732441228845	0.109622114285714
2200	0.726362352778564	0.345009855008793	0.563264002919175	0.0664670850092502	0.109568457142857
2300	0.734235710853468	0.346114193921699	0.564404305783616	0.0660938211351871	0.109518042857143
2400	0.741514126739767	0.348480717504325	0.564404305783616	0.0657466628086436	0.109471571428571
2500	0.748671822280399	0.350284633462631	0.564404305783616	0.0654204851111007	0.109429414285714
2600	0.755302381473352	0.352002059209257	0.562260536398468	0.0651112456232541	0.1093924
2700	0.761920915643335	0.354014500334499	0.56143951833607	0.0648158735767374	0.109360728571429
2800	0.768511870770395	0.356106261638053	0.561758803138113	0.0645320346279615	0.109334242857143
2900	0.774850623474749	0.357876075670551	0.560116767013319	0.0642582477252592	0.109313042857143
3000	0.7808051047589	0.359997433928488	0.55815544608648	0.0639931225746815	0.109297528571429
3100	0.786625457799255	0.362195498045033	0.555692391899288	0.0637359699534265	0.109286485714286
3200	0.792126424955671	0.36408459141449	0.555373107097245	0.0634861107809434	0.1092804
3300	0.79728154616815	0.365681732642256	0.555373107097245	0.0632432614011426	0.109278714285714
3400	0.802368570807652	0.367457788605912	0.554552089034848	0.0630070065287705	0.109281071428571
3500	0.807259118297666	0.369351196600232	0.551268016785258	0.0627773538653923	0.109287071428571
3600	0.811857266112893	0.370811185280188	0.551268016785258	0.0625541251380982	0.109296457142857
3700	0.816119401411555	0.37253983841149	0.551268016785258	0.062337283676252	0.109308985714286
3800	0.82068711762518	0.373907747382771	0.552089034847656	0.0621267893104786	0.109324028571429
3900	0.825050285675654	0.375365601632749	0.550948731983215	0.0619227996530837	0.109341442857143
4000	0.829342914078734	0.376867244024671	0.550948731983215	0.0617250268623732	0.109361028571429
4100	0.833442602204862	0.37809859696207	0.551769750045612	0.0615335903486914	0.109382442857143
4200	0.837683918019957	0.379463976698183	0.549808429118774	0.0613486116233149	0.109405385714286
4300	0.841887939537004	0.380055454448057	0.550629447181171	0.0611698212912051	0.109429685714286
4400	0.845885098978083	0.381842643843053	0.550629447181171	0.060997422173366	0.109455157142857
4500	0.849691153311185	0.382902482660647	0.550629447181171	0.0608313870603583	0.109481757142857
4600	0.853301932544393	0.384019473335042	0.553092501368363	0.0606714469000379	0.109509028571429
4700	0.856682359574626	0.385034938371047	0.553092501368363	0.060517737894542	0.109537014285714
4800	0.85988686020909	0.386002756627452	0.553092501368363	0.0603700503665389	0.109565314285714
4900	0.862957422501971	0.386925597016275	0.552271483305966	0.0602283755762386	0.109594285714286
5000	0.865878215192243	0.387386901103652	0.550629447181171	0.0600926337828567	0.109623214285714
5100	0.868649271184751	0.388644848640223	0.550629447181171	0.0599627715950828	0.109652371428571
5200	0.871249218362165	0.389433474096328	0.550629447181171	0.0598385462825949	0.109681542857143
5300	0.87390009064081	0.390201041481379	0.553913519430761	0.0597199093287422	0.109710942857143
5400	0.87637828174814	0.390922634836107	0.553913519430761	0.0596066953709026	0.109740028571429
5500	0.878741466666296	0.391292386748818	0.553913519430761	0.0594988798395003	0.109768857142857
5600	0.881226321756364	0.392267469747774	0.553092501368363	0.0593961250066579	0.109797442857143
5700	0.883539168179099	0.392887243618843	0.553092501368363	0.0592983483000423	0.109825628571429
5800	0.885714869516635	0.393476120225833	0.552271483305966	0.0592054712055114	0.109853657142857
5900	0.887757553403876	0.394034580932165	0.552271483305966	0.0591172888207901	0.109880857142857
6000	0.889677542259409	0.394564827359707	0.552271483305966	0.0590336949127349	0.109907628571429
6100	0.891482608080035	0.394812533020419	0.551952198503923	0.0589543927085038	0.109933685714286
6200	0.893183741720422	0.395296642852725	0.551952198503923	0.058879297064807	0.109959057142857
6300	0.89473850700764	0.395988520652443	0.551131180441525	0.0588082209769161	0.109984142857143
