0.905182 0.741162 55.39902 0.06501326
0.7327101 0.2709103 49.74199 0.1654233
0.9766791 0.07375557 50.77265 0.04400393
0.9531027 0.2400066 55.38537 0.06637849
0.8931491 0.6687476 56.99074 0.09506843
0.759273 0.3026553 59.75783 0.07075188
0.7327807 0.5718716 62.60136 0.1218756
0.9588617 0.5987283 57.14091 0.1013036
0.89129790.7893129  0.7205830.5606746  54.7383157.9354  0.085345870.09658773

