0.7693431 0.5559004 58.78566 0.105221
0.9279779 0.6510215 61.20546 0.1183464
0.7067945 0.3830127 57.15396 0.1830299
0.8956018 0.6252906 53.23565 0.1233262
0.68796620.7469209  0.19973440.5300755  51.3375562.21556  0.14400620.1150152

0.9701669 0.6097353 49.31735 0.06979328
0.8150881 0.4853989 54.83405 0.1256878
0.8353693 0.2092798 44.20024 0.1418588
0.9406414 0.5437607 55.93296 0.08899106
