0.7783897 0.7138198 56.33499 0.0860899
0.8249404 0.3960843 50.54421 0.1070465
0.4741112 0.1280217 61.00963 0.09819052
0.7117682 0.5520724 62.829 0.07186698
0.9025027 0.7345334 50.46542 0.07108195
0.5459712 0.1391882 43.29151 0.07301599
0.7421176 0.5884213 58.57164 0.07144824
0.8959202 0.5427723 40.39831 0.1040969
0.75133110.9739443  0.6484010.7386576  65.3837251.82667  0.080964580.08476616

